Respondent ID,Age,Annual Income,Financial Responsibility,On-Time Payment,Credit Utilization,Credit Score
R400,40,513.01,4,75.78,44.39,585
R401,39,913.24,8,73.16,89.36,669
R402,42,1564.83,7,52.27,65.81,837
R403,39,1452.84,5,64.5,0.81,904
R404,39,477.01,10,96.55,94.32,584
R405,59,1668.5,10,69.59,23.71,1011
R406,23,603.99,8,77.34,10.76,697
R407,32,602.87,9,76.6,76.81,610
R408,60,1166.55,5,,50.05,767
R409,54,1267.29,10,53.07,43.38,817
R410,50,1244.16,5,68.11,24.95,827
R411,25,364.68,2,,54.75,509
R412,61,1779.43,5,60.03,27.44,970
R413,61,678.08,,60.18,90.16,547
R414,22,433.13,7,50.5,21.52,568
R415,56,1799.75,10,71.87,88.44,941
R416,21,1920.17,5,94.14,55.94,1040
R417,23,1751.83,8,52.6,,933
R418,62,1657.13,1,59.56,71.28,828
R419,49,1379.44,3,65.5,69.67,767
R420,47,1191.54,3,86.59,32.43,810
R421,64,356.58,9,82.03,23.39,619
R422,52,935.22,5,70.8,21.09,738
R423,57,870.84,9,87.95,85.72,688
R424,33,667.56,9,80.48,82.04,619
R425,30,1502.16,1,94.8,44.06,892
R426,59,1092.58,2,90.9,13.24,812
R427,47,345.88,5,,,541
R428,36,,4,63.57,61.93,705
R429,34,1429.87,10,56.27,45.44,871
R430,36,337.04,,66.85,,515
R431,45,1732.17,7,99.98,99.76,934
R432,43,1091.26,6,70.29,19.11,805
R433,54,1065.06,7,61.02,45.97,737
R434,43,1266.33,1,88.12,43.1,794
R435,40,1684.43,,77.12,30.45,977
R436,26,826.06,8,57.48,19.81,705
R437,29,1420.43,2,69.03,,819
R438,18,1218.32,10,,88.71,791
R439,18,680.65,9,87.69,41.98,699
R440,64,1781.53,,51.03,49.69,913
R441,51,1635.37,6,63.45,91.69,845
R442,49,1385.21,1,75.88,77.63,754
R443,42,1731.05,1,63.44,,885
R444,57,,2,81.42,56.54,720
R445,62,1475.05,6,74.09,44.23,886
R446,18,1706.62,6,68.09,79.72,881
R447,33,1455.45,2,97.46,72.42,845
R448,56,1424.25,1,81.61,69.04,788
R449,22,,10,56.5,34.05,788
R450,39,1554.89,5,78,80.5,847
R451,46,485.49,5,89.04,5.24,655
R452,20,1785.57,2,85.42,15.96,1003
R453,29,1769.32,6,58.6,33.56,957
R454,43,252.65,,98.62,7.68,613
R455,33,1686.47,,72.44,23.5,965
R456,54,,10,57.95,83.02,714
R457,39,803.21,2,59.01,94.83,544
R458,46,,3,54.91,30.46,735
R459,31,489.37,7,90.18,26.45,666
R460,45,1672.34,6,56.1,27.99,934
R461,22,1697.84,8,56.26,27.77,950
R462,64,1113.44,8,92.52,3.59,892
R463,47,211.49,6,67.23,92.69,423
R464,63,716.67,10,51.54,21.37,679
R465,22,1310.47,3,52.59,42,765
R466,29,1966.14,3,57.11,0.97,1037
R467,33,1337.26,1,60.67,85.8,712
R468,43,667.65,7,83.26,73.12,617
R469,43,1341.21,5,57.87,94.68,731
R470,38,1171.97,4,55.94,78.16,694
R471,56,1603.72,10,88.24,31.37,1020
R472,53,392.57,4,83.55,24.79,585
R473,50,1569.85,4,71.77,69.77,847
R474,47,1174.28,6,77.47,36.41,810
R475,54,1933.39,8,65.6,56.62,1012
R476,40,815.37,,74.13,0.63,747
R477,27,1338.72,5,75.33,6.19,895
R478,22,1877.65,6,69.36,53.54,978
R479,53,384.52,4,95.33,56.61,566
R480,51,1887.01,9,50.8,75.15,951
R481,48,1438.19,,89.11,13.2,934
R482,27,322.11,10,56.22,51.32,522
R483,36,741.73,10,89.88,19.44,774
R484,49,1474.71,1,80.8,,835
R485,18,321.23,2,92.16,41.05,537
R486,22,,9,54.88,16.33,801
R487,62,822.59,8,77.95,22.18,754
R488,21,1317.65,3,75.05,31.76,834
R489,33,282.34,8,85.31,25.94,602
R490,41,1768.77,1,76.71,8.76,987
R491,33,1952.28,10,77.04,8.99,1116
R492,19,1943.98,4,71.48,19.32,1045
R493,45,1549.37,3,65.44,5.06,915
R494,49,434.16,6,74.11,62.65,536
R495,44,1564.87,7,55.92,28.73,902
R496,37,244.26,4,98.08,27.97,564
R497,41,239.82,7,85.72,33.2,571
R498,29,782.5,9,97.62,66.28,727
R499,52,1079.56,2,61.34,87.06,642
R500,50,1586.73,3,93.97,75.91,890
R501,50,1429.93,5,90.44,72.75,840
R502,60,1002.62,3,83.86,48.44,729
R503,54,692.53,8,81.25,69.38,653
R504,29,1994.82,10,65.83,55.28,1043
R505,20,967.13,8,90.82,21.63,824
R506,18,1012.5,8,75.08,20.86,807
R507,50,494.52,9,53.54,29.64,604
R508,57,1630.66,4,65.64,91.08,818
R509,27,1448.63,5,96.76,54.74,894
R510,60,597.39,5,92.53,73.39,600
R511,61,348.29,8,99.1,34.66,633
R512,46,1424.9,,81.4,40.77,883
R513,30,1378.12,9,62.38,12.56,919
R514,29,,8,58.14,17.13,807
R515,48,,2,59.35,82.74,641
R516,63,471.9,10,50.99,58.48,560
R517,19,978.2,4,69.53,33.75,730
R518,52,1898.51,6,59.57,80.29,933
R519,40,955.51,2,70.58,24.65,711
R520,34,1349.35,7,96.75,97.6,827
R521,43,915.67,3,71.53,34.48,690
R522,25,693.59,3,93.9,33.73,677
R523,46,1971.16,2,80.28,31.19,1022
R524,43,936.8,8,62.36,12.21,761
R525,27,1809.38,6,67.79,11.11,1022
R526,43,613.92,1,,64.81,546
R527,51,583.59,1,66.67,87.51,479
R528,58,256.04,7,83.88,,533
R529,24,,8,,14.11,833
R530,21,863.35,5,60.27,54.56,654
R531,62,1755.84,5,69.07,10.56,1000
R532,28,1051.78,4,99.1,4.53,844
R533,46,1942.75,6,89.24,65.64,1020
R534,53,533.95,6,86.67,53.52,620
R535,42,,3,55.81,8.2,768
R536,38,1597.87,9,89.05,3.49,1038
R537,53,1587.66,7,89.26,98.98,869
R538,27,1720.61,1,80.06,3,983
R539,54,1569.84,7,99.52,44.45,979
R540,26,1327.2,5,66.26,50.46,795
R541,41,436.24,5,97.06,11.73,660
R542,52,258.55,2,95.74,16.91,555
R543,52,1857.53,4,50.57,35.18,939
R544,53,1309.97,6,72.51,76.17,786
R545,35,1633.77,10,98.86,50.71,1003
R546,56,1066.74,7,55.16,63.79,700
R547,49,411.15,5,77.39,98.52,487
R548,41,425.33,9,98.95,76.8,602
R549,40,1434.02,3,77.77,43.44,849
R550,49,974.55,1,59.49,44.64,656
R551,54,560.94,4,79.11,61.88,578
R552,29,1084.87,9,60.22,66.54,734
R553,30,315.58,4,75.99,50.07,502
R554,40,1247.55,2,53.7,64.49,698
R555,42,,10,80.27,2.35,895
R556,52,,5,75.84,42.96,762
R557,58,758.65,3,87.01,27.89,695
R558,47,1019.4,9,81.54,12.92,837
R559,34,220.92,4,,9.95,552
R560,37,330.4,6,84.49,60.32,528
R561,42,906.49,2,57.2,52.36,634
R562,39,1063.89,6,79.77,25.36,810
R563,30,1280.04,3,58.61,47.1,760
R564,36,,9,96.28,49.22,842
R565,53,1450.97,2,53.42,19.5,829
R566,29,1748.22,9,71.52,65.21,949
R567,58,1603.73,5,84.79,78.09,889
R568,36,271.31,8,72.9,79.15,489
R569,29,1064.91,2,54.6,60.25,651
R570,26,388.87,6,77.67,51.16,565
R571,24,635.68,3,82.08,6.1,677
R572,45,1975.99,10,85.19,28.78,1118
R573,31,,5,68.66,9.33,801
R574,48,1098,8,78.18,96.38,715
R575,36,1312.68,10,72.53,13.51,912
R576,64,1464.44,1,83.6,15.18,899
R577,33,1207.37,5,79.18,88.96,735
R578,22,217.59,3,76.29,94.39,401
R579,52,787.63,4,62.48,,636
R580,29,,2,50.1,0.54,756
R581,42,358.16,9,58.7,0.13,624
R582,38,831.13,3,,37.81,665
R583,53,259.77,2,72.45,14.34,520
R584,40,341.44,10,80.61,1.84,665
R585,33,914.46,9,60.65,46.41,710
R586,56,438.89,7,96.95,94.31,558
R587,62,1221.57,6,50.33,32.38,780
R588,59,1441.04,1,88.62,66.11,822
R589,56,1641.06,5,81.26,65.22,909
R590,31,,3,68.68,25.11,765
R591,48,501.47,1,52.52,,495
R592,22,388.22,4,81.37,21.23,584
R593,52,1345.57,2,69.28,,789
R594,40,1471.66,2,96.81,70.14,856
R595,46,256.86,3,77.1,11.34,537
R596,60,1885.18,8,96.98,99.69,988
R597,28,293.55,8,61.02,18.35,552
R598,35,1174.33,7,86.29,59.41,799
R599,64,1476.31,6,80.86,41.14,904
R600,29,1767.74,9,86.97,12.64,1065
R601,26,1485.36,4,60.73,2.78,899
R602,27,1643.11,1,83.25,62.27,868
R603,61,811.01,8,74.9,80.68,644
R604,34,1666.69,7,87.14,84.2,913
R605,55,344.21,7,66.35,48.27,526
R606,24,1810.67,3,94.5,77.75,937
R607,63,1185.67,4,54.22,67.28,707
R608,30,1671.14,10,,72.43,941
R609,57,1014.17,9,93.07,49.26,798
R610,59,1358.44,6,90.86,63.34,850
R611,26,1147.52,5,75.64,80.55,731
R612,44,1516.86,3,71.92,39.79,869
R613,19,346.93,9,99.81,80.6,572
R614,22,308.63,5,61.46,59.2,482
R615,46,644.79,5,77.34,16.59,668
R616,54,487.18,4,83.53,2.47,646
R617,55,1769.21,4,85.04,36.28,976
R618,36,594.59,1,60.2,54.67,525
R619,25,1956.56,7,82.7,83.98,1004
R620,62,806.41,9,90.92,12.75,786
R621,18,527.81,3,52.5,80.02,466
R622,39,1621.46,2,95.58,86.3,868
R623,34,1385.67,3,,15.07,879
R624,24,1096.75,1,67.8,85.16,636
R625,42,1199.65,,50.79,99.15,665
R626,62,1494.56,7,53.86,72.68,817
R627,21,611.22,,95.56,78.48,619
R628,53,1993.4,8,67.74,99.44,966
R629,23,1954.63,6,71.24,,1020
R630,48,1370.59,4,60.77,30.79,819
R631,36,,5,79.85,83.75,706
R632,61,1424.41,8,79.74,61.45,883
R633,56,,3,68.61,58.12,714
R634,44,255.17,3,,25.36,510
R635,27,663.83,4,94.25,75.63,608
R636,43,1032.72,1,69.16,8.17,739
R637,36,1762.89,9,74.68,92.43,932
R638,56,1508.9,8,64.17,32.58,915
R639,20,1536.87,8,89.34,12.78,997
R640,62,965.89,10,69.87,44.24,756
R641,30,822.68,6,75.68,4.25,747
R642,45,867.87,7,62.67,68.46,662
R643,37,1977.77,,99.38,,1081
R644,45,272.2,9,,83.73,502
R645,25,1760.66,3,88.54,12.74,1009
R646,58,1241.62,,71.37,12.63,858
R647,56,989.51,3,60.31,81.34,623
R648,18,1505.46,10,89.99,92.43,902
R649,20,,3,66.68,46.07,728
R650,30,1772.16,9,93.26,49.9,1036
R651,45,1821.26,4,95.76,31.83,1033
R652,42,959.1,7,92.99,89.43,708
R653,50,698.29,9,51.75,64.49,611
R654,55,1266.23,7,89.37,28.83,879
R655,23,1842.25,9,70.57,29.88,1033
R656,61,579.19,,93.69,89.12,573
R657,62,1321.34,4,81.9,1.36,900
R658,49,1336.81,8,91.68,32.27,917
R659,62,,6,74.97,55.44,766
R660,64,436.82,5,76.75,14.82,619
